iter,η,χ,ho,smm_obj,converged,distance,simdistance,cyclelength,race,owneryoung,medwealthyoung,medwealthold,transfrateyoung,tp2wealthpyoung,h2wyoung,wealthatpurchaseyoung,r2incyoung,LTVatpurchaseyoung,first_ownyoung,transferbuyersyoung,LTVatpurchaseold,consp2conskyoung,first_ownold,h2wold,house2incold,house2incyoung,logincomeold,logincomeyoung,medconsp2conskyoung,medwealthfold,medwealthfyoung,medwealthp_owneryoung,medwealthp_renteryoung,medwealthpgradyoung,mortg2incold,mortg2incyoung,mortgold,mortgyoung,owner_age3536_inc1old,owner_age3536_inc1young,owner_age3536_inc2old,owner_age3536_inc2young,owner_age3536_inc3old,owner_age3536_inc3young,r2incold,stdwealthold,stdwealthyoung,tp2inckyoung,tp2wealthk_medyoung,tp2wealthkyoung,tp2wealthp_medyoung,transferbuyersFamntyoung,transferbuyersFyoung,transferbuyersLamntyoung,transferbuyersLyoung,transferbuyersNamntyoung,transferbuyersNyoung,transferbuyersamntyoung,transfrateowneryoung,transfraterenteryoung,transfsize_medyoung,transfsizeyoung,wealth_age3536_p10old,wealth_age3536_p10young,wealth_age3536_p25old,wealth_age3536_p25young,wealth_age3536_p50old,wealth_age3536_p50young,wealth_age3536_p75old,wealth_age3536_p75young,wealth_age3536_p90old,wealth_age3536_p90young,wealth_nonrcverold,wealth_nonrcveryoung,wealth_rcverold,wealth_rcveryoung,wealthatpurchaseold,wealthfold,wealthfyoung,wealthold,wealthp_owneryoung,wealthp_renteryoung,wealthpgradyoung,wealthyoung,ownerall,type,ownerold,bng2w,owneryoung_prich,owneryoung_pmiddle,owneryoung_ppoor,transfrateyoung_prich,transfrateyoung_pmiddle,transfrateyoung_ppoor
1,0.13,1.325,2.675,0.009574566402033767,true,2.3814211047579192e-8,NaN,1,,0.469385,28.100386637112393,207.11020827485893,0.2596875,0.007739417002751437,19.5394951719531,35.679894203782865,0.23469970711916727,0.645438409011846,34.2288493717916,0.21382813214972088,,,,,,,,,,,,,,2.0101302280213926,,,,102.5526285947811,,0.2308881866469441,,0.4672651292369603,,0.8669397787791888,,,,,,,,14.695220122875403,0.15294844761143023,6.307122326769375,0.1392832106554504,7.10360569771361,0.09787189211967973,16.956076848359547,0.17649552172791272,0.3167772559798326,,8.993689001170459,,0.43550215767756667,,1.0265492374010694,,30.532377971802376,,99.42490404446622,,151.83616852297945,,,,,,,,245.20051614875103,,,,57.662581676382125,0.72359,Model,0.980315,-0.0005397716989452172,0.6410454477276136,0.45628890722268056,0.3108077701942549,0.35485225738713067,0.25303382584564615,0.1711692792319808
2,0.13999999999999999,1.2625,2.5625,0.03577660362891746,true,3.739525489265816e-8,NaN,1,,0.44217,28.413382537098187,206.82343112694198,0.27314,0.028508406270891486,17.342008111998076,40.64985538482879,0.23842128850709568,0.623030353524068,34.73547024618856,0.26924245713045364,,,,,,,,,,,,,,1.8949879706365869,,,,99.80202419977144,,0.22912047302291194,,0.43740806688859646,,0.8490983606557376,,,,,,,,16.615229367934184,0.18353325658261224,8.875971566461416,0.17513018121224744,8.209015952227272,0.20995089077678603,20.18770470414913,0.19204656309128645,0.3232333445225895,,10.819894423845678,,0.3878999392862632,,1.535991712875245,,30.92393146283576,,96.99234233648951,,146.82087779681953,,,,,,,,244.470643129917,,,,57.71500095889067,0.648143,Model,0.8305275,0.00021501772923803713,0.6249962501874906,0.39451736293407336,0.3069826745668642,0.38412329383530824,0.22795319882997075,0.20733518337958448
3,0.12,1.3875,2.7875,0.005680174709201983,true,1.462025167597858e-8,NaN,1,,0.484545,29.033886039422782,210.71337715675878,0.2339825,0.00843950503114233,18.50458254868876,34.658457118016294,0.22764933347865834,0.6505830431102835,33.97557851354738,0.2385589094449854,,,,,,,,,,,,,,1.9485697624899765,,,,101.90720442473463,,0.2751732023945652,,0.4970208156000928,,0.8757575757575757,,,,,,,,14.03508683567966,0.13402356301320956,7.1191625819741,0.18158697863682605,9.661067810131888,0.11886376172090458,17.3294136849072,0.16208126541694517,0.28661306175822365,,9.491432890631318,,0.9058142509081293,,1.1952297853157647,,30.263714589303017,,104.85291162565525,,154.90742442182983,,,,,,,,245.95722208522312,,,,59.6207626680194,0.740836,Model,0.99993,-0.00015467863744193303,0.675671216439178,0.44164854121353037,0.33630090752268804,0.3394330283485826,0.20651766294157353,0.15598889972249305
4,0.125,1.29375,2.73125,0.006193789013079173,true,2.0150835666754574e-8,NaN,1,,0.4614875,28.469744520524465,210.73332331380038,0.253305,-0.025358180442141772,14.427782136119117,38.08289610660195,0.22781202419288982,0.633026783062783,34.33787326191019,0.2081994660391873,,,,,,,,,,,,,,1.948279223752551,,,,100.46110717194807,,0.2623270186752653,,0.4769719018499885,,0.8697826978269783,,,,,,,,16.12882528585026,0.13679523038421904,6.7264713065622,0.13547437673130194,6.850955236490386,0.17713028356460944,12.856679987173155,0.16913015042511445,0.3097408698920465,,9.177640689901155,,0.6000352980697212,,1.0154772930623772,,30.877913920094684,,102.00583359945,,152.2841044440334,,,,,,,,244.99848582845962,,,,58.57806350562161,0.709087,Model,0.9548325,-0.0002541970245404127,0.6503974801259937,0.42104552613815344,0.31300532513312834,0.3556922153892305,0.2302932573314333,0.17392184804620114
5,0.145,1.41875,2.50625,0.05112461897313954,true,8.256542116669152e-10,NaN,1,,0.5076575,28.43206266830775,203.81282191397418,0.2749325,-0.009082327339615148,21.042954139119413,32.4324561584285,0.2550185485960661,0.6737444139325328,33.49204853992353,0.30296343001261034,,,,,,,,,,,,,,2.0988490086136085,,,,109.04332561980533,,0.31990314118517515,,0.5348603265495628,,0.8837018837018837,,,,,,,,16.87655253530284,0.19903267337068095,7.315070165179441,0.22989302265147907,6.356262288845907,0.252059141236835,18.897931894507494,0.2011172236765479,0.3334423863794239,,10.674712994998313,,0.1560138359861732,,1.2049839673942848,,31.277137514513615,,101.25787410085334,,149.67434835443632,,,,,,,,244.25318237624583,,,,57.37799592503149,0.750943,Model,0.9986825,0.0003350285233183701,0.7004574771261437,0.47445436135903396,0.3480462011550289,0.40437978101094946,0.2657241431035776,0.15468386709667742
6,0.135,1.23125,2.84375,0.007769707138491737,true,3.005068727190974e-8,NaN,1,,0.455125,28.49773260059672,209.08522219332485,0.2435,0.01330422164649056,15.987344700948578,38.015762072287025,0.21798152834405693,0.6379825377841811,34.36531429065047,0.2155722654542275,,,,,,,,,,,,,,1.9447222972671998,,,,102.12208793414602,,0.2712558764271322,,0.47405459747892653,,0.8666557188603334,,,,,,,,15.140752244451992,0.16962765563698276,9.072115538735456,0.12817397133998157,11.157410572490667,0.11881470903248839,20.242840888997353,0.17374707392942096,0.2892746086099598,,10.773717822838467,,0.9139919528408406,,1.2874971374868953,,29.993587287764242,,97.95196904673712,,147.23323314902808,,,,,,,,244.17059406591653,,,,57.254432715423945,0.663966,Model,0.8554775,5.931819523316781e-5,0.6442552872356382,0.41746043651091275,0.30364509112727817,0.33927553622318884,0.2095777394434861,0.18163954098852472
7,0.115,1.35625,2.61875,0.014811041235189745,true,1.092749890574396e-8,NaN,1,,0.467075,28.42673482818166,212.45886145187973,0.2125825,-0.04866787410595616,17.39286826990931,35.71710997406666,0.2398855562041669,0.6462450224993256,34.25074526126329,0.1829090909090909,,,,,,,,,,,,,,1.8770079176827947,,,,100.26126281090461,,0.22977150537634405,,0.4741566078613433,,0.8711872745162348,,,,,,,,15.838786720648804,0.14431115957833515,7.870864749173638,0.10760789095501459,6.877437116497055,0.12791065219681805,16.37864046125231,0.15944,0.24894315789473684,,9.599577798271055,,0.5462759713701159,,1.0049047515326301,,31.160412255179782,,102.09058447249727,,151.11558457211234,,,,,,,,244.03298135078037,,,,58.69694413157042,0.730742,Model,0.999015,-0.00023651974215720456,0.6445852707364632,0.42631815795394884,0.3303082577064427,0.3461676916154192,0.1895822395559889,0.10198754968874221
8,0.1175,1.278125,2.871875,0.030898885895420107,true,1.2866331999816794e-8,NaN,1,,0.4531525,29.486429174932827,211.11279919355133,0.2032025,0.003014840528212873,12.830884958920246,38.05968317092596,0.21660814657635005,0.63067128875108,34.45762711864407,0.229331082506858,,,,,,,,,,,,,,1.8898914040918864,,,,97.35920593705421,,0.2531926334184702,,0.4867982965543942,,0.8726140738920292,,,,,,,,16.505686391828696,0.11740088105726872,8.646119251411404,0.13848891765086555,13.22667234819704,0.10435459337083024,20.886217127466637,0.1404815421539868,0.2439362325055875,,10.292072247567548,,1.1410804963915915,,1.3841391683105324,,30.990718709198486,,104.37950552610363,,155.6113535167761,,,,,,,,245.5775692990928,,,,59.77032961641886,0.722963,Model,0.99621,-0.0009998242565146418,0.6412854357282136,0.41456536413410333,0.30359258981474535,0.3116319184040798,0.1784969624240606,0.11947048676216905
9,0.1375,1.403125,2.646875,0.03431397289842025,true,3.2816750206166034e-8,NaN,1,,0.500805,28.37352287222963,209.66524518866683,0.2690525,-0.01737164211982061,14.132839728936881,32.594680804396184,0.24130686674679966,0.6699285209541322,33.585015129222995,0.2544186490876087,,,,,,,,,,,,,,2.0918642309175204,,,,107.62317149181973,,0.2703793381759483,,0.5053014472564044,,0.8765047907624273,,,,,,,,15.578152525092069,0.20688446438586652,6.550784618647997,0.16808413351623228,5.61480752501302,0.19352430084170513,14.745680798537643,0.19649006773553493,0.3257127847131943,,10.34617910411592,,0.6532842089982802,,1.4654303763481442,,31.019651754544228,,100.06623139870848,,149.6324224453539,,,,,,,,244.3741110022494,,,,57.50402221611263,0.747442,Model,0.9992225,0.00015646053545069594,0.696505174741263,0.46405910147753693,0.3418360459011475,0.3858257087145643,0.2525238130953274,0.16879921998049952
10,0.1475,1.215625,2.759375,0.03388913143074057,true,5.14373539317603e-8,NaN,1,,0.442105,28.107679148285868,210.46992382733498,0.275105,0.0280261815100189,18.938927837130652,39.15077786082025,0.22290633597243725,0.6286218121005117,34.63669200967112,0.22693378851855178,,,,,,,,,,,,,,1.8718031876145707,,,,100.14249455886363,,0.24210879785090667,,0.4518151559718244,,0.8580920351078665,,,,,,,,14.72296318347218,0.16268086063423046,9.117596394991978,0.14963001204611942,6.924851790643851,0.17888647866955892,18.34132272552637,0.17966354358045597,0.334191448798436,,10.267114645844487,,0.7211390685107916,,1.090488968187337,,29.319241102310812,,96.6824441564574,,147.45204846469247,,,,,,,,242.88191214499687,,,,56.89906442156462,0.64432,Model,0.8252,-0.0001951146597877984,0.6170541472926354,0.4020550513762844,0.30719267981699544,0.37539373031348433,0.2361734043351084,0.21374034350858773
