xp,vp,xk,vk,prob,wealth
1,1,1,1,.10846954,0
1,1,2,1,.33878157,0
1,1,3,1,.065874197,9.144950878954218
1,1,4,1,.023278851,52.90624387690963
1,1,1,2,.07379891,0
1,1,2,2,.11441308,.3944384177540993
1,1,3,2,.078751855,10.67163679101985
1,1,4,2,.03368004,48.25560638585289
1,1,1,3,.03368004,0
1,1,2,3,.032194156,.6675111685069373
1,1,3,3,.050024766,11.60333255795886
1,1,4,3,.047052998,68.40146627642429
2,1,1,1,.091641493,0
2,1,2,1,.21349446,0
2,1,3,1,.10574018,9.018995177423612
2,1,4,1,.037260827,56.22015955943195
2,1,1,2,.068479359,0
2,1,2,2,.090634443,.3214487978205888
2,1,3,2,.10674723,10.56272739865921
2,1,4,2,.053373616,53.92367164377327
2,1,1,3,.041289024,0
2,1,2,3,.038267877,.5662792845589508
2,1,3,3,.058408864,12.04966226284956
2,1,4,3,.094662637,67.39717601425548
3,1,1,1,.06640625,0
3,1,2,1,.1015625,.6417360949574762
3,1,3,1,.06640625,8.838271059519341
3,1,4,1,.0390625,65.44087459305052
3,1,1,2,.109375,0
3,1,2,2,.0546875,.9424181350124547
3,1,3,2,.1015625,11.92194924118727
3,1,4,2,.07421875,64.31439772721298
3,1,1,3,.05859375,0
3,1,2,3,.05078125,2.034855533727293
3,1,3,3,.1015625,12.05
3,1,4,3,.17578125,76.78247982957429
4,1,1,1,.067307696,0
4,1,2,1,.125,.463544133740362
4,1,3,1,.057692308,9.515948469729768
4,1,4,1,.03846154,106.0730061413425
4,1,1,2,.048076924,0
4,1,2,2,.048076924,0
4,1,3,2,.057692308,17.07911324209735
4,1,4,2,.096153848,40.3093792593521
4,1,1,3,.096153848,0
4,1,2,3,.01923077,2.034855533727293
4,1,3,3,.057692308,17.21381200720482
4,1,4,3,.28846154,135.3882439938962
1,2,1,1,.10543657,0
1,2,2,1,.15321252,0
1,2,3,1,.074135087,8.640289626735154
1,2,4,1,.024711696,50.57730513210822
1,2,1,2,.11861614,0
1,2,2,2,.10378913,.3429356579607831
1,2,3,2,.07742998,10
1,2,4,2,.039538715,49.85736845639062
1,2,1,3,.095551893,0
1,2,2,3,.054365732,.5801666278979429
1,2,3,3,.072487645,12.5104227625085
1,2,4,3,.08072488,86.05804980486153
2,2,1,1,.099378884,0
2,2,2,1,.15320911,0
2,2,3,1,.060041409,8.429550855351369
2,2,4,1,.01242236,70.01787229537337
2,2,1,2,.10973085,0
2,2,2,2,.077639751,.6
2,2,3,2,.10662526,11
2,2,4,2,.061076604,60.91749592928401
2,2,1,3,.070393376,0
2,2,2,3,.041407868,0
2,2,3,3,.07867495,14.36597088975332
2,2,4,3,.12939958,60.10024320473153
3,2,1,1,.062256809,0
3,2,2,1,.08171206,.77503458699137
3,2,3,1,.067444876,8.421897203663258
3,2,4,1,.025940338,90.489376632892
3,2,1,2,.08560311,0
3,2,2,2,.068741895,.0270744426352373
3,2,3,2,.083009079,11.58265908948339
3,2,4,2,.08690013,54.57632379253193
3,2,1,3,.083009079,0
3,2,2,3,.046692606,.1178001497234585
3,2,3,3,.11154345,15.62432339372122
3,2,4,3,.19714656,64.48692044043912
4,2,1,1,.059347183,0
4,2,2,1,.038575668,1.462733860350451
4,2,3,1,.071216621,14.16311058648483
4,2,4,1,.032640949,68.70144347814356
4,2,1,2,.06231454,0
4,2,2,2,.03560831,1.389415033014429
4,2,3,2,.083086051,15.46084529182385
4,2,4,2,.1008902,44.18094592106679
4,2,1,3,.065281898,0
4,2,2,3,.032640949,0
4,2,3,3,.094955489,16.95467625312094
4,2,4,3,.32344213,88.51621571713726
1,3,1,1,.086956523,0
1,3,2,1,.10869565,0
1,3,3,1,.11956522,10.91526475850639
1,3,4,1,.032608695,146.8
1,3,1,2,.10869565,0
1,3,2,2,.032608695,1.854176534961448
1,3,3,2,.065217391,11.88312405033724
1,3,4,2,.021739131,27.0458993680939
1,3,1,3,.076086953,0
1,3,2,3,.065217391,1.271784708579558
1,3,3,3,.16304348,14.83341227969158
1,3,4,3,.11956522,56.3439780044358
2,3,1,1,.096219935,0
2,3,2,1,.13745704,.5113738532418146
2,3,3,1,.04467354,11.16915488334057
2,3,4,1,.010309278,91.02425025094598
2,3,1,2,.099656358,0
2,3,2,2,.082474224,.5448969086682607
2,3,3,2,.10652921,11.92425342764194
2,3,4,2,.048109967,35.8306397988658
2,3,1,3,.0790378,0
2,3,2,3,.054982819,2.220025922193153
2,3,3,3,.092783503,10.52934830047292
2,3,4,3,.14776632,54.37165664103949
3,3,1,1,.096045196,0
3,3,2,1,.072033897,1
3,3,3,1,.062146891,12.57229219817541
3,3,4,1,.018361581,40.65604687378897
3,3,1,2,.093220338,0
3,3,2,2,.059322033,1.290270392689191
3,3,3,2,.09039548,11.85137401431371
3,3,4,2,.050847456,49.88053888108658
3,3,1,3,.10593221,0
3,3,2,3,.049435027,0
3,3,3,3,.11440678,14.90370390775489
3,3,4,3,.18785311,62.6069358406498
4,3,1,1,.061956521,0
4,3,2,1,.043478262,.400091600954247
4,3,3,1,.045652173,12.1723685575006
4,3,4,1,.034782607,46.325
4,3,1,2,.058695652,0
4,3,2,2,.043478262,.8628226479690688
4,3,3,2,.10869565,12.58498694143262
4,3,4,2,.080434784,51.13020364317684
4,3,1,3,.079347827,0
4,3,2,3,.029347826,.6068283350063066
4,3,3,3,.096739128,16
4,3,4,3,.31739131,85.51336382621777
