race,medwealthyoung,medwealthold,owneryoung,h2wyoung,r2incyoung,wealthatpurchaseyoung,LTVatpurchaseyoung,first_ownyoung,transfrateyoung,transferbuyersyoung,LTVatpurchaseold,consp2conskyoung,first_ownold,h2wold,house2incold,house2incyoung,logincomeold,logincomeyoung,medconsp2conskyoung,medwealthfold,medwealthfyoung,medwealthp_owneryoung,medwealthp_renteryoung,medwealthpgradyoung,mortg2incold,mortg2incyoung,mortgold,mortgyoung,owner_age3536_inc1old,owner_age3536_inc1young,owner_age3536_inc2old,owner_age3536_inc2young,owner_age3536_inc3old,owner_age3536_inc3young,r2incold,stdwealthold,stdwealthyoung,tp2inckyoung,tp2wealthk_medyoung,tp2wealthkyoung,tp2wealthp_medyoung,tp2wealthpyoung,transferbuyersFamntyoung,transferbuyersFyoung,transferbuyersLamntyoung,transferbuyersLyoung,transferbuyersNamntyoung,transferbuyersNyoung,transferbuyersamntyoung,transfrateowneryoung,transfraterenteryoung,transfsize_medyoung,transfsizeyoung,wealth_age3536_p10old,wealth_age3536_p10young,wealth_age3536_p25old,wealth_age3536_p25young,wealth_age3536_p50old,wealth_age3536_p50young,wealth_age3536_p75old,wealth_age3536_p75young,wealth_age3536_p90old,wealth_age3536_p90young,wealth_nonrcverold,wealth_nonrcveryoung,wealth_rcverold,wealth_rcveryoung,wealthatpurchaseold,wealthfold,wealthfyoung,wealthold,wealthp_owneryoung,wealthp_renteryoung,wealthpgradyoung,wealthyoung,boot
Black,2.981487132590936,35.19046744012106,.26849845,2.4942405,.24684079,15.602207,.57603192,34.935143,.14313681,.077767454,.24912328,,56.457748,1.4818265,2.2562153,5.4582357,3.4399197,3.4249721,,109.7857,45.026463,58.739796,18.765669,3.1301732,.71181053,2.2094114,55.882751,112.59835,,.1878988,,.4040187,,.71788609,.28201854,232.4680814424754,140.1039935904375,.04220546,.03125,.43247068,.018450186,.052423954,3.6378133,.10812539,2.2136538,.055610653,2.6044567,.058883127,3.0901763,.084119998,.1589015,.81394219,1.3290936,,-19.130667,,-5.2721496,,11.440764,,50.029427,,202.12633,30.127176,17.380714,63.517597,21.929977,,175.54448,127.13325,100.9241132276277,131.10355,75.506729,1.7363161,36.42029514606123,4
White,35.40382221494961,256.1968207791903,.53448063,2.2381744,.21888703,38.650642,.67453939,31.87859,.2700502,.29980147,.41647026,,57.084332,.91770351,4.9312949,3.9939508,4.1260023,4.0834818,,570.11163,348.73792,336.90814,181.9395,1.8517592,1.7323925,1.0492606,71.624565,147.14651,,.30926815,,.57270068,,.80932844,.23239857,991.2964685624166,304.0591453678127,1.6415225,.046979867,.19776729,.0043795621,.029581998,3.5547626,.27825633,4.5262132,.25638834,6.1459579,.36447287,4.4637108,.2243799,.30566657,2.0348556,4.8758826,,-24.486479,,5.0968347,,46.821064,,163.30516,,398.8309,387.38318,75.153976,628.92627,89.759163,,1087.885,719.13159,602.724402367971,659.12622,496.44434,1.3276941,134.4897004936422,4
All,23.78004724635481,190.0892675851819,.47894749,2.2764742,.23486884,42.415421,.6368261,32.562069,.24140374,.23124278,.4270485,,57.018799,.97578657,3.3470371,14.138822,4.0262885,3.9497979,,510.71991,257.24805,293.26611,113.84325,2.5760517,.71015757,12.293962,72.040962,145.86711,,.26023707,,.56830847,,.80317581,.25197887,951.9573903981576,283.5227399355688,2.9212723,.03846154,.30584675,.0042854082,.017197169,6.230226,.19403362,2.7564881,.21412329,9.7141132,.31493068,5.5025496,.23126267,.24863918,1.5261416,3.8789847,,-18.506567,,2.4185939,,32.468182,,131.24971,,342.67523,411.99695,75.616234,623.93402,89.381546,,915.64288,646.28253,528.344048044952,655.69543,393.88043,1.6647068,117.5995461842457,5
Black,3.197207481854095,32.30629935576764,.25161177,2.4404919,.25021583,28.783415,.57373106,35.090553,.11612584,.08386232,.29769588,,56.828629,1.4513011,2.2442427,4.2710772,3.4916687,3.3820214,,92.411232,43.877193,50.82761,15.58761,3.2607698,.69888902,4.1826963,56.768963,108.75047,,.16674124,,.37211576,,.67175627,.27347153,201.6572188930748,123.8044743618128,.047531057,.03125,.83869481,.021276595,.061043963,3.5803421,.080915652,2.2943518,.0827277,3.898248,.067059226,3.1394064,.093253218,.12131449,1.1191705,2.3310242,,-31.404829,,-4.3224745,,9.59305,,42.624275,,204.46062,80.166718,11.831388,77.547249,31.88386,,161.99152,120.84515,96.37332871425053,123.32856,74.398773,1.6576693,33.95355903532548,5
White,34.51013629108272,248.4986759672487,.53334087,2.2482984,.22478159,48.039474,.64248472,31.951443,.28102967,.28321019,.46458793,,56.889214,.90909761,3.4056895,16.411222,4.1124048,4.0842495,,570.30762,345.50986,332.59076,196.01451,1.696766,.66724306,14.248868,71.108849,149.15396,,.28609574,,.6288625,,.82558829,.23715255,1004.351372875798,309.4400429141209,3.3245387,.037593987,.24470279,.0035794184,.013041384,6.1835251,.24037597,2.4796059,.25805864,9.9745665,.41055602,5.5695,.25635859,.30347598,1.5261416,3.9797406,,-17.677059,,4.4106355,,49.437206,,165.36621,,460.56833,452.15698,90.511421,634.14124,97.260002,,986.65082,751.89624,600.114613508881,689.664,515.39813,1.3381189,138.1711542193662,5
All,23.56586047994439,193.3147105163026,.47773671,2.2498806,.23075171,30.773031,.66351253,32.547417,.25219202,.22761472,.35443562,,57.191483,1.0028678,4.9159207,8.2754498,4.009099,3.9551287,,533.49677,252.57428,293.38184,107.97572,2.7171092,1.2553663,5.2102561,72.618111,145.7366,,.25572032,,.58558136,,.7525478,.25180966,949.6739712696348,280.411995415567,4.7716274,.031746034,.27016532,.0043795621,.029475782,5.3491602,.22281893,3.110122,.19110939,2.2013679,.25243652,4.0841064,.24046513,.26025462,1.0174278,3.2122416,,-18.975958,,1.6830977,,31.451563,,138.39146,,375.73938,322.25626,68.006828,715.89429,104.52114,,970.22601,631.08502,525.8233143892598,645.65808,381.38367,1.6929358,117.4804382354212,6
Black,3.149813433113403,30.25848294354457,.25639734,2.4650044,.24566492,8.3129206,.58087009,35.223686,.13795938,.11587121,.29432935,,56.52293,1.5155807,2.6803031,9.838439,3.4092479,3.4145467,,97.094437,43.306107,52.865139,16.822763,3.1424766,.86771917,2.2983685,57.072632,107.43449,,.14862128,,.45953,,.59646285,.2700094,229.6810688494446,137.2260341847895,.062518939,.13333334,.86395502,.01923077,.047772564,3.0138509,.087524816,2.3345482,.12467088,3.0300169,.1263368,2.6797242,.12795407,.14002977,1.0174278,2.0690508,,-24.176199,,-4.6409359,,11.561795,,37.835232,,200.89449,58.811481,9.9092035,72.805763,19.739254,,162.25661,121.8674,100.429322797623,143.60698,69.62838,2.0624776,36.97246901248746,6
White,35.13785888031794,248.7009639892375,.53370059,2.2234492,.21921545,37.112968,.68567389,31.927912,.28494176,.26887113,.37532845,,57.034184,.93196011,4.7514796,8.5692863,4.1039381,4.0876021,,608.4444,350.177,342.37936,188.47589,1.8165685,1.3258163,5.8137822,72.109451,148.80121,,.29865071,,.61483091,,.77786744,.23910901,1002.520015708342,301.4182242746215,5.5145917,.028011205,.21648681,.0036764704,.027799567,5.6473613,.26736373,3.2289715,.22441584,2.1360102,.30722675,4.2570567,.26110941,.30548885,1.2209133,3.3039324,,-19.391665,,3.4111564,,46.045876,,162.31264,,412.12527,361.14981,80.934952,767.21106,118.58467,,1077.3318,746.52356,597.3935715561859,697.68878,501.19489,1.3920509,136.502090066478,6
All,23.49056776088307,188.5038359281633,.47708288,2.263788,.23623842,33.104572,.65468687,32.403763,.22452694,.25880128,.33611372,,57.252422,.992827,5.0838852,10.359019,4.0123353,3.959486,,558.82233,250.58438,291.79187,108.11536,2.6988935,1.6797007,8.832015,73.064827,146.647,,.25232998,,.57634473,,.78874892,.25398499,922.6436650846164,283.8327599260209,.96183723,.052631579,.33285862,.0057670129,.030050129,5.6053023,.25704348,3.3696308,.2426753,6.6423368,.2338725,5.0332503,.19528738,.24613982,1.5261416,4.1198444,,-13.523657,,2.3732045,,34.135117,,148.51955,,400.84039,410.12537,69.748589,569.14148,81.154236,,989.79938,621.65515,514.70509717047,618.26514,384.28635,1.6088657,118.5924013723125,7
Black,3.07561552283835,34.77297142647519,.25933349,2.4834812,.25393459,16.053768,.5501141,35.073032,.1381319,.13579783,.25474146,,55.974243,1.3888823,2.0409009,5.2876468,3.4194813,3.4040048,,95.444168,40.686871,53.089111,14.734578,3.603029,.63515276,3.1263676,57.67078,109.81528,,.14451815,,.39825732,,.61244076,.27327436,215.326880527063,136.4408458998951,.059013106,.15146925,.84668702,.021276595,.049913347,1.5615023,.12069602,1.7526873,.16740727,5.6112132,.083998024,2.1809349,.12295693,.14160994,1.2209133,1.7569633,,-21.542751,,-4.2128963,,6.4293828,,40.061104,,225.63515,142.28566,10.994135,-30.608814,33.835213,,167.92233,120.16599,101.5069823469789,123.85292,72.567223,1.7067337,36.11847477087127,7
